id	sentence	cluster	count
0	 A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	10	20
2	"According to a statement by Midlothian Police Department Chief Daniel Delaney, officers who arrived at the scene ""learned there were several gunshot victims inside the bar."""	10	20
3	"""Officers encountered a subject with a gun and was involved in an Officer involved shooting,"" the statement, which does not identify the police officer, said."	10	20
4	One witness told WGN9 that a drunk patron who was asked to leave the bar returned with a gun and opened fire inside.	5	2
6	"""I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him,"" Harris told Fox32."	7	4
9	Shortly after Roberson subdued the suspect at gunpoint, police arrived - and fatally shot the armed security guard as he pinned the suspect to the ground.	10	20
17	 A police officer fatally shot an armed security guard who witnesses say was trying to detain a man following a shooting at a suburban Chicago bar, authorities said.	10	20
18	Investigators said 26-year-old Jemel Roberson was pronounced dead shortly after being taken to a hospital following the shooting early on Sunday at Manny's Blue Room in Robbins, just south of Chicago.	17	2
19	Four other people were shot and wounded during the incident, including a man who police believe fired a gun before police arrived, the Cook county sheriff's spokeswoman, Sophia Ansari, said.	10	20
20	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	8	3
21	"An officer responding from nearby Midlothian encountered and shot ""a subject with a gun"", the Midlothian police chief, Daniel Delaney, said in a statement."	10	20
25	Illinois state police are handling the investigation into Roberson's shooting.	9	3
26	 When police arrived after reports of a shooting over the weekend at a bar outside Chicago, witnesses say Jemel Roberson, a 26-year-old security guard who worked there, had already subdued the alleged assailant in the parking lot, pinning him to the ground.	10	20
27	"Adam Harris, who was at Manny's Blue Bar in Robbins at the time of the incident on Sunday, told WGN-TV that Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back"" when officers from neighboring Midlothian got there early Sunday."	8	3
28	"Midlothian Police Chief Daniel Delaney said that's when one of his officers ""encountered a subject with a gun"" and shot him, according to a statement given to the media."	10	20
33	 An armed security guard at a bar in suburban Chicago was killed by police as he detained a suspected gunman, according to officials and witnesses.	10	20
35	Moments after police came on the scene, an officer opened fire on Roberson, who was black, killing him.	10	20
37	Sophia Ansari, a spokeswoman for the Cook County Sheriff's office, said police were called to the scene after a fight broke out in the bar and four people were shot.	10	20
38	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" Mr Harris said."	4	3
39	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	7	4
41	"The chief of the Midlothian police, whose officer fired the fatal shot, said in a statement: ""Upon arrival officers learned there were several gunshot victims inside the bar."""	10	20
42	 A black security guard at a bar in the Chicago suburbs was killed by the police as he apparently tried to detain a man he believed to be involved in a shooting, the authorities said Monday.	10	20
43	Officers from several police departments had responded to reports of a shooting early Sunday morning at Manny's Luxury Lounge in Robbins, Ill., said Sophia Ansari, a spokeswoman for the Cook County Sheriff's Office.	10	20
51	 A police officer mistakenly shot and killed a security guard at a bar in Chicago's south suburbs early Sunday morning, Chicago's Fox 32 reported.	10	20
52	"Witnesses said a security guard told a group of ""drunk men"" to leave a Robbins bar around 4 am An armed suspect later came back inside the bar and opened fire, WGN-TV reported, citing witnesses."	5	2
54	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" said one witness cited by Fox 32."	4	3
55	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	7	4
56	The Cook County Sheriff's Office is investigating the first shooting, while the State Police Public Integrity Task Force is investigating the police shooting.	9	3
61	" A police officer fatally shot an armed security guard who was wearing a hat with ""security"" emblazoned across the front and holding a man down following a shooting inside the suburban Chicago bar where the guard worked, an attorney for the guard's family said Monday after filing a federal lawsuit."	10	20
62	Jemel Roberson, 26, was pronounced dead shortly after being taken to a hospital early Sunday following the shooting at Manny's Blue Room in Robbins, just south of Chicago.	17	2
63	Four others were shot and wounded, including a man who police believe fired a gun before police arrived, Cook County sheriff's spokeswoman Sophia Ansari said.	10	20
64	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	8	3
65	"Investigators said the initial gunfire was reported around 4 am An officer responding from nearby Midlothian encountered and shot ""a subject with a gun,"" Midlothian Police Chief Daniel Delaney said in a statement."	10	20
69	The 26-year-old guard, Jemel Roberson, had restrained a thug involved in the shooting outside Manny's Blue Room in Robbins, Ill., after gunfire broke out at 4 am Sunday, according to local station Fox32.	10	20
73	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" Harris told Fox32."	4	3
74	"I guess when the police got there, they probably thought he was one of the bad guys, 'cause he had his gun on the guy and they shot him,"" he said."	7	4
76	The Midlothian Police Department is investigating the police-involved shooting, according to the Chicago Sun-Times.	9	3
