id	sentence	cluster	count
0	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	18	22
2	"According to a statement by Midlothian Police Department Chief Daniel Delaney, officers who arrived at the scene ""learned there were several gunshot victims inside the bar."""	18	22
3	"""Officers encountered a subject with a gun and was involved in an Officer involved shooting,"" the statement, which does not identify the police officer, said."	18	22
4	One witness told WGN9 that a drunk patron who was asked to leave the bar returned with a gun and opened fire inside.	12	2
6	"""I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him,"" Harris told Fox32."	14	4
11	Shortly after Roberson subdued the suspect at gunpoint, police arrived - and fatally shot the armed security guard as he pinned the suspect to the ground.	18	22
20	A police officer fatally shot an armed security guard who witnesses say was trying to detain a man following a shooting at a suburban Chicago bar, authorities said.	18	22
21	Investigators said 26-year-old Jemel Roberson was pronounced dead shortly after being taken to a hospital following the shooting early on Sunday at Manny's Blue Room in Robbins, just south of Chicago.	26	2
22	Four other people were shot and wounded during the incident, including a man who police believe fired a gun before police arrived, the Cook county sheriff's spokeswoman, Sophia Ansari, said.	18	22
23	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	16	3
25	"An officer responding from nearby Midlothian encountered and shot ""a subject with a gun"", the Midlothian police chief, Daniel Delaney, said in a statement."	18	22
28	"Roberson was working to ""enough money together for a deposit on a new apartment"", said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot in 2014 by a white Chicago police officer."	15	2
29	Illinois state police are handling the investigation into Roberson's shooting.	17	3
30	When police arrived after reports of a shooting over the weekend at a bar outside Chicago, witnesses say Jemel Roberson, a 26-year-old security guard who worked there, had already subdued the alleged assailant in the parking lot, pinning him to the ground.	18	22
31	"Adam Harris, who was at Manny's Blue Bar in Robbins at the time of the incident on Sunday, told WGN-TV that Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back"" when officers from neighboring Midlothian got there early Sunday."	16	3
32	"Midlothian Police Chief Daniel Delaney said that's when one of his officers ""encountered a subject with a gun"" and shot him, according to a statement given to the media."	18	22
35	"""According to witness statements, the Midlothian Officer gave the armed subject multiple verbal commands to drop the gun and get on the ground before ultimately discharging his weapon and striking the subject,"" the statement said."	18	22
40	An armed security guard at a bar in suburban Chicago was killed by police as he detained a suspected gunman, according to officials and witnesses.	18	22
42	Moments after police came on the scene, an officer opened fire on Roberson, who was black, killing him.	18	22
44	Sophia Ansari, a spokeswoman for the Cook County Sheriff's office, said police were called to the scene after a fight broke out in the bar and four people were shot.	18	22
45	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" Mr Harris said."	11	3
46	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	14	4
48	"The chief of the Midlothian police, whose officer fired the fatal shot, said in a statement: ""Upon arrival officers learned there were several gunshot victims inside the bar."""	18	22
50	A black security guard at a bar in the Chicago suburbs was killed by the police as he apparently tried to detain a man he believed to be involved in a shooting, the authorities said Monday.	18	22
51	Officers from several police departments had responded to reports of a shooting early Sunday morning at Manny's Luxury Lounge in Robbins, Ill., said Sophia Ansari, a spokeswoman for the Cook County Sheriff's Office.	18	22
60	A police officer mistakenly shot and killed a security guard at a bar in Chicago's south suburbs early Sunday morning, Chicago's Fox 32 reported.	18	22
61	"Witnesses said a security guard told a group of ""drunk men"" to leave a Robbins bar around 4 am An armed suspect later came back inside the bar and opened fire, WGN-TV reported, citing witnesses."	12	2
63	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" said one witness cited by Fox 32."	11	3
64	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	14	4
65	The Cook County Sheriff's Office is investigating the first shooting, while the State Police Public Integrity Task Force is investigating the police shooting.	17	3
70	"A police officer fatally shot an armed security guard who was wearing a hat with ""security"" emblazoned across the front and holding a man down following a shooting inside the suburban Chicago bar where the guard worked, an attorney for the guard's family said Monday after filing a federal lawsuit."	18	22
71	Jemel Roberson, 26, was pronounced dead shortly after being taken to a hospital early Sunday following the shooting at Manny's Blue Room in Robbins, just south of Chicago.	26	2
72	Four others were shot and wounded, including a man who police believe fired a gun before police arrived, Cook County sheriff's spokeswoman Sophia Ansari said.	18	22
73	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	16	3
74	"Investigators said the initial gunfire was reported around 4 am An officer responding from nearby Midlothian encountered and shot ""a subject with a gun,"" Midlothian Police Chief Daniel Delaney said in a statement."	18	22
78	"Roberson was trying to ""get enough money together for a deposit on a new apartment,"" said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot by a white Chicago police officer in a high-profile 2014 case."	15	2
80	A police officer gunned down an armed black security guard who tried to stop a shooting at a suburban Chicago bar, according to reports Monday.	18	22
81	The 26-year-old guard, Jemel Roberson, had restrained a thug involved in the shooting outside Manny's Blue Room in Robbins, Ill., after gunfire broke out at 4 am Sunday, according to local station Fox32.	18	22
85	"""The security guard that got killed, he caught somebody and had his knee on him the whole time,"" Harris told Fox32."	11	3
86	"I guess when the police got there, they probably thought he was one of the bad guys, 'cause he had his gun on the guy and they shot him,"" he said."	14	4
88	The Midlothian Police Department is investigating the police-involved shooting, according to the Chicago Sun-Times.	17	3
