sentence1_id	sentence2_id	sentence1	sentence2	similarity_score
0	0	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	1.0000163820222951
0	1	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Jemel Roberson, 26, was shot by a Midlothian police officer who arrived at Manny's Blue Room Lounge in Robbins, Illinois, around 4 am on Sunday.	0.8058444545895327
0	2	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	According to a statement by Midlothian Police Department Chief Daniel Delaney, officers who arrived at the scene "learned there were several gunshot victims inside the bar."	0.8173927002644632
0	3	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	"Officers encountered a subject with a gun and was involved in an Officer involved shooting," the statement, which does not identify the police officer, said.	0.7509477363782935
0	4	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	One witness told WGN9 that a drunk patron who was asked to leave the bar returned with a gun and opened fire inside.	0.670184510818217
0	5	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	According to witnesses who spoke to local reporters, Roberson apprehended the suspect until police arrived.	0.7501004831283353
0	6	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him," Harris told Fox32.	0.6878310821775813
0	7	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	She said she did not hear police tell Roberson to put his gun down.	0.6126152555225417
0	8	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	According to a GoFundMe page, Roberson was "a gifted basketball player and musician, and his love for God and his family were at the forefront of his life."	0.3717171581229195
0	9	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Roberson played music at the Purposed Church in Chicago for the past several years, according to Pastor LeAundre Hill, who tweeted that Roberson "had just played for my grandma's funeral Friday and now he's gone."	0.4288483476557303
0	10	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	In the early hours of November 11, 26-year-old Jemel Roberson was working security at a bar in the Chicago suburbs when a shooting broke out.	0.8215651396312751
0	11	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Shortly after Roberson subdued the suspect at gunpoint, police arrived - and fatally shot the armed security guard as he pinned the suspect to the ground.	0.8643399363791104
0	12	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	In preliminary findings released on Tuesday, Illinois State Police (which is tasked with investigating the shooting) argued that the officer gave Roberson "multiple verbal commands" to drop his weapon before opening fire.	0.7868488552048802
0	13	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Gregory Kulis, a lawyer representing Roberson's mother in a civil rights lawsuit filed after the shooting, said that Roberson had a hat with the words "SECURITY" on it.	0.5916205132962205
0	14	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	News of Roberson's shooting comes amid a national conversation about racial disparities in police violence, and how it affects black men and women.	0.624279191106325
0	15	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Coverage of Roberson's shooting has focused on exactly how long it took the officer to use his weapon after he arrived at the scene, and what commands, if any, were made before he opened fire.	0.7080836527165957
0	16	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Witness statements provided to media have suggested that the officer involved in the shooting did not react to cries that Roberson was a security guard.	0.7614553622261155
0	17	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	But the statement from the state police argues that the responding officer had no way to know Roberson was security and that he only fired after Roberson did not respond to commands.	0.6469577136158478
0	18	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Dorian Myrickes, a colleague of Roberson's and one of the people injured in the initial gunfight, told the Associated Press on Wednesday that he did not hear the police officer issue any commands.	0.778316621290287
0	19	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Patricia Hill, another pastor at Purposed Church, said that Roberson wanted to become a police officer, calling it a tragedy that he was killed in a police shooting.	0.7021307203103788
0	20	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	A police officer fatally shot an armed security guard who witnesses say was trying to detain a man following a shooting at a suburban Chicago bar, authorities said.	0.8901173336198553
0	21	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Investigators said 26-year-old Jemel Roberson was pronounced dead shortly after being taken to a hospital following the shooting early on Sunday at Manny's Blue Room in Robbins, just south of Chicago.	0.7447976066032425
0	22	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	Four other people were shot and wounded during the incident, including a man who police believe fired a gun before police arrived, the Cook county sheriff's spokeswoman, Sophia Ansari, said.	0.8591937687015161
